Feature,FeatureValue,SHAPValue,AbsoluteSHAP,FeatureFamily,Direction,Experiment,ToolIndex,NumberOfCycle,ActualHealth,PredictedHealth
Current - Driving axle Z L2 - skew,12.466579107362412,0.00032541392,0.00032541392,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle Z L1 - mean,542.3794266441821,0.0002853233,0.0002853233,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle X L1 - min,559.0,-0.00027921234,0.00027921234,Electrical Current,Pushes health DOWN,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle Y L3 - mean,4597.233341363527,0.0002656759,0.0002656759,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle Y L1 - max,19277.0,-0.00021828174,0.00021828174,Electrical Current,Pushes health DOWN,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle X L1 - max,13434.0,0.00021424408,0.00021424408,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle X L3 - skew,0.4236603349474431,-0.00019098562,0.00019098562,Electrical Current,Pushes health DOWN,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle Y L2 - std,4409.5613909389995,0.00018942318,0.00018942318,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle Y L1 - std,4225.235014421092,0.00018744262,0.00018744262,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle X L2 - max,13660.0,0.00017559045,0.00017559045,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle Y L2 - skew,0.7716607457518062,0.0001603936,0.0001603936,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle Z L3 - skew,13.265559196514769,0.00015953985,0.00015953985,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle Z L2 - mean,521.1879547097085,0.00015364835,0.00015364835,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle Y L3 - std,4230.127297125716,0.00014293389,0.00014293389,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle X L2 - min,637.0,-0.0001236687,0.0001236687,Electrical Current,Pushes health DOWN,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle Z L3 - mean,551.0872079017105,6.9216025e-05,6.9216025e-05,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle Y L1 - mean,4612.648711153939,2.639325e-05,2.639325e-05,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
Current - Driving axle Z L2 - std,1789.919860819619,0.0,0.0,Electrical Current,Pushes health UP,B_current_based,102,79,0.071428571,0.287105917930603
