column,dtype,missing_count,missing_percent,unique_values,is_constant,min,max,mean,std
Accelerometer - Y Driving axle +Y - skew,float64,0,0.0,968,False,-0.9798618728016492,0.3658188081110382,-0.06367573065420276,0.10871938320170992
Accelerometer - Y Driving axle -X - skew,float64,0,0.0,968,False,-0.5682556579098915,3.002258654603794,0.05014244235410898,0.14704433944578688
Current - Spindle L1 - skew,float64,0,0.0,968,False,-2.513792672532941,5.723808488134232,-0.4292399899849411,0.6860686336770709
Current - Spindle L2 - skew,float64,0,0.0,968,False,-2.6641199758382443,5.903038049431665,-0.4229399441773217,0.6913169933433986
Current - Spindle L3 - skew,float64,0,0.0,968,False,-2.7132266235375053,5.983161023250169,-0.42941531220951434,0.6815090867143154
Current - Driving axle X L1 - skew,float64,0,0.0,968,False,-1.6453761170939942,2.931728477341413,0.2275860862291742,0.7126326582359916
Current - Driving axle X L2 - skew,float64,0,0.0,968,False,-1.5806909975863692,2.9091246030978044,0.248511596498429,0.7062093969922264
Current - Driving axle X L3 - skew,float64,0,0.0,968,False,-1.5940146329870697,2.92201831885537,0.24444363388402637,0.7104635042581124
Current - Driving axle Y L1 - skew,float64,0,0.0,968,False,0.2216488471766791,2.1141274785963167,0.9878162780726535,0.25702878766409826
Current - Driving axle Y L2 - skew,float64,0,0.0,968,False,0.2986968580787841,2.263117253376264,1.0173857607422747,0.2507545265193008
Current - Driving axle Y L3 - skew,float64,0,0.0,968,False,0.0847069599303387,2.1525713513722877,1.0149730644810477,0.26193359028652513
Current - Driving axle Z L1 - skew,float64,0,0.0,968,False,0.5310734757824844,12.259401885007684,3.696097819165,2.10018753896011
Current - Driving axle Z L2 - skew,float64,0,0.0,968,False,0.4993964116671238,12.466579107362412,3.684977400739157,2.056652819387277
Current - Driving axle Z L3 - skew,float64,0,0.0,968,False,0.6238204396726477,13.265559196514769,3.677671767234738,2.0897993562579043
Accelerometer - Spindle +Y - kurtosis,float64,0,0.0,968,False,-0.7353248180531287,434.4270394745824,88.80969278375103,66.97268835526364
Accelerometer - Spindle -Z - kurtosis,float64,0,0.0,968,False,0.2702005515392334,942.8022677674256,4.452278106392207,47.06321794038765
Accelerometer - Spindle -X - kurtosis,float64,0,0.0,968,False,0.2093359693539431,187.8545866707208,1.8905823482827486,9.036349897023072
Accelerometer - X Driving axle +Z - kurtosis,float64,0,0.0,968,False,-0.4010320690824467,283.43868852883656,3.726443579956498,11.275192548488011
Accelerometer - X Driving axle -X - kurtosis,float64,0,0.0,968,False,-0.5157047182451282,1227.5235337891315,4.493592197620788,40.07849978104242
Accelerometer - Y Driving axle +Z - kurtosis,float64,0,0.0,968,False,0.3313634512642331,762.6726664958782,7.859315864057368,27.872528491521834
Accelerometer - Y Driving axle +Y - kurtosis,float64,0,0.0,968,False,0.3090674716444019,543.0637939431391,5.035606659765524,19.82379860952958
Accelerometer - Y Driving axle -X - kurtosis,float64,0,0.0,968,False,0.6760671363332418,1072.9324781295363,13.890756173727542,38.42523884787414
Current - Spindle L1 - kurtosis,float64,0,0.0,968,False,-1.9424847844438455,45.44079516910753,1.8654696816849599,5.763620599162113
Current - Spindle L2 - kurtosis,float64,0,0.0,968,False,-1.941780815118001,48.06697505673645,1.9058741931640177,5.863557018326003
Current - Spindle L3 - kurtosis,float64,0,0.0,968,False,-1.9418030171142064,48.488347041147755,1.87353734097845,5.783532251524222
Current - Driving axle X L1 - kurtosis,float64,0,0.0,968,False,-1.492409473375086,8.005172887687776,0.1439269176846258,1.1489116362472824
Current - Driving axle X L2 - kurtosis,float64,0,0.0,968,False,-1.5421346783605934,8.436949283478391,0.1482642205016932,1.1878541271295564
Current - Driving axle X L3 - kurtosis,float64,0,0.0,968,False,-1.5080447247508204,7.974666267451253,0.16733057386516598,1.161895156740921
Current - Driving axle Y L1 - kurtosis,float64,0,0.0,968,False,-1.565925532094954,5.448422904070201,0.6135771910684681,0.9391457735963648
Current - Driving axle Y L2 - kurtosis,float64,0,0.0,968,False,-1.5633266954907958,6.617737424069709,0.7081512086691695,0.9825587373506735
Current - Driving axle Y L3 - kurtosis,float64,0,0.0,968,False,-1.5647890139572265,6.008066674360736,0.6877556946322245,0.991863537025536
Current - Driving axle Z L1 - kurtosis,float64,0,0.0,968,False,-1.2757648623887283,156.42893999165156,18.09988584463306,20.493936151464837
Current - Driving axle Z L2 - kurtosis,float64,0,0.0,968,False,-1.2249207627051846,162.17401751053163,18.011837226956565,20.089952787055775
Current - Driving axle Z L3 - kurtosis,float64,0,0.0,968,False,-1.094801658200628,183.09734156188077,17.973186405482647,20.691991887385516
FileName,str,0,0.0,968,False,,,,
NumberOfCycle,int64,0,0.0,149,False,1.0,150.0,49.52272727272727,35.86343019910852
SampleIndex,int64,0,0.0,23,False,2.0,119.0,39.22727272727273,40.765934640261904
TollIndex,int64,0,0.0,14,False,2.0,105.0,41.59710743801653,46.38364446146104
MillingToolType,int64,0,0.0,2,False,1.0,2.0,1.362603305785124,0.48100016411581725
ADOC,int64,0,0.0,2,False,5.0,10.0,6.957644628099174,2.4417227016091174
RDOC,float64,0,0.0,2,False,4.5,8.0,5.266528925619835,1.448258069036578
HardnessMean,float64,0,0.0,17,False,35.33,41.67,38.831239669421485,1.5301705241187316
ToolHolderLength,int64,0,0.0,2,False,80.0,160.0,81.32231404958678,10.205106393422072
CycleToFailure,int64,0,0.0,150,False,0.0,149.0,48.52066115702479,35.98841573322512
CycleToFailureNormalized,float64,0,0.0,835,False,0.0,1.0,0.4990249597809917,0.2917854661314043
